Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Gender_ male ,Gender_FEMALE,Gender_Female,Gender_MALE,Gender_Male
0.8133333333333334,0.2,0.04764551810760769,0.4,0.0,0.0,0.45160692322667995,0.0,0.0,0.0,0.0,1.0
0.44,0.4,0.3688144742128877,0.4,0.0,1.0,0.38683443037326304,0.0,0.0,1.0,0.0,0.0
0.6933333333333334,0.30000000000000004,0.05314843251248206,0.1,0.0,1.0,0.747897192848995,0.0,0.0,1.0,0.0,0.0
0.6266666666666667,0.05,0.04764551810760769,0.2,1.0,1.0,0.9833653238006876,0.0,0.0,0.0,0.0,1.0
0.92,0.15000000000000002,0.41503982236226195,0.4,0.0,0.0,0.9093535451193645,0.0,0.0,0.0,0.0,1.0
0.41333333333333333,0.35000000000000003,0.04764551810760769,0.4,1.0,1.0,0.6007799264602749,0.0,0.0,0.0,0.0,1.0
0.32,0.2,0.28093736648832474,0.30000000000000004,1.0,0.0,0.8919614921877298,0.0,0.0,0.0,0.0,1.0
0.52,0.2,0.22519644604457156,0.2,1.0,1.0,0.4853714892604669,0.0,0.0,0.0,0.0,1.0
0.68,0.1,0.7873490000373063,0.2,1.0,1.0,0.7389537846627035,0.0,0.0,1.0,0.0,0.0
0.4,0.35000000000000003,0.5462369021875153,0.4,0.0,1.0,0.8361187516294529,0.0,0.0,0.0,0.0,1.0
0.6133333333333334,0.5,0.9676128637753174,0.4,0.0,0.0,0.5428119690834625,0.0,1.0,0.0,0.0,0.0
0.6266666666666667,0.35000000000000003,0.04764551810760769,0.4,1.0,1.0,0.35930690499881646,0.0,0.0,0.0,0.0,1.0
0.4,0.15000000000000002,0.04764551810760769,0.1,1.0,0.0,0.7735337524608116,0.0,0.0,0.0,0.0,1.0
0.41333333333333333,0.4,0.04764551810760769,0.4,0.0,0.0,0.785085485878608,0.0,0.0,0.0,0.0,1.0
0.0,0.4,0.04764551810760769,0.1,0.0,0.0,0.9820365005463357,0.0,0.0,0.0,0.0,1.0
0.36,0.5,0.2761581875035049,0.30000000000000004,0.0,0.0,0.8122813181606545,0.0,0.0,0.0,0.0,1.0
0.4666666666666667,0.15000000000000002,0.04764551810760769,0.1,1.0,0.0,0.680864675020804,0.0,0.0,1.0,0.0,0.0
0.6,0.35000000000000003,0.04764551810760769,0.1,1.0,0.0,0.4002096004216219,0.0,0.0,0.0,0.0,1.0
0.5866666666666667,0.1,0.6443887658919839,0.1,0.0,1.0,0.6470265772654323,0.0,0.0,1.0,0.0,0.0
0.56,0.5,0.04764551810760769,0.30000000000000004,1.0,0.0,0.5271133466977654,0.0,0.0,1.0,0.0,0.0
0.9866666666666667,0.45,0.34138714113217095,0.4,0.0,0.0,0.6654265650201496,0.0,0.0,0.0,0.0,1.0
0.8533333333333334,0.4,0.9464259500742627,0.4,1.0,1.0,0.8073105737815294,0.0,0.0,0.0,0.0,1.0
0.52,0.05,0.9783834666621689,0.2,0.0,0.0,0.5745441583499122,0.0,0.0,1.0,0.0,0.0
0.32,0.25,0.5164826572934592,0.2,1.0,0.0,0.7872277100341087,0.0,0.0,1.0,0.0,0.0
0.52,0.30000000000000004,0.40112209006784866,0.2,1.0,1.0,0.6985549065867016,0.0,0.0,0.0,0.0,1.0
0.7333333333333334,0.45,0.35655633060519865,0.4,0.0,0.0,0.7343972189602594,0.0,0.0,0.0,0.0,1.0
0.5466666666666667,0.5,0.04764551810760769,0.4,1.0,0.0,0.4635381703666962,0.0,0.0,1.0,0.0,0.0
0.8133333333333334,0.1,0.04764551810760769,0.4,0.0,0.0,0.48610625623894144,0.0,0.0,0.0,0.0,1.0
0.8533333333333334,0.15000000000000002,0.2691087948718938,0.2,1.0,0.0,0.686109337568227,0.0,0.0,0.0,0.0,1.0
0.3066666666666667,0.25,0.04764551810760769,0.30000000000000004,0.0,0.0,0.5772352192735946,0.0,0.0,1.0,0.0,0.0
0.3333333333333333,0.2,0.8934973539823292,0.1,1.0,1.0,0.40486565904531213,0.0,0.0,0.0,0.0,1.0
0.8,0.4,0.04764551810760769,1.0,1.0,0.0,0.7816133379940106,0.0,0.0,1.0,0.0,0.0
0.9066666666666667,0.1,0.04764551810760769,0.4,0.0,0.0,0.4645518076498201,0.0,0.0,1.0,0.0,0.0
0.48000000000000004,0.25,0.2219600765815942,0.4,1.0,0.0,0.8189642511779582,0.0,0.0,1.0,0.0,0.0
0.9333333333333333,0.15000000000000002,0.6557461709798487,0.2,1.0,1.0,0.9867060149748602,0.0,0.0,0.0,0.0,1.0
0.4,0.1,0.04764551810760769,0.4,0.0,1.0,0.9121023809671492,0.0,0.0,1.0,0.0,0.0
0.9333333333333333,0.15000000000000002,0.5947534756571663,0.1,1.0,0.0,0.996887907443271,0.0,0.0,0.0,0.0,1.0
0.9066666666666667,0.25,0.8900912235383344,0.1,0.0,1.0,0.5652315408867385,0.0,0.0,1.0,0.0,0.0
0.7066666666666667,0.15000000000000002,0.9819073768269256,0.30000000000000004,0.0,0.0,0.47429676162296414,0.0,0.0,0.0,0.0,1.0
0.3333333333333333,0.1,0.04764551810760769,0.2,1.0,0.0,0.7208507250027663,0.0,0.0,1.0,0.0,0.0
0.72,0.30000000000000004,0.04764551810760769,0.30000000000000004,1.0,1.0,0.5598995406618414,0.0,0.0,1.0,0.0,0.0
0.41333333333333333,0.30000000000000004,0.04764551810760769,0.2,0.0,1.0,0.876952017100177,0.0,0.0,1.0,0.0,0.0
0.4666666666666667,0.5,0.057326086831193314,0.1,1.0,0.0,0.3962825562947856,0.0,0.0,0.0,0.0,1.0
0.48000000000000004,0.15000000000000002,0.37287877984402096,0.2,1.0,1.0,0.7261953806872284,0.0,0.0,0.0,0.0,1.0
